county,precinct,office,district,party,candidate,votes
Livingston,"Genoa Charter Township,Precinct 12",State House,48,GRN,Eric Borregard,5
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Cast Votes,482
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Undervotes,17
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Overvotes,1
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Rejected,1
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Unassigned,0
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Absentee,223
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Election,278
Livingston,"Genoa Charter Township,Precinct 12",State House,48,,Total,501
Livingston,"Hamburg Township, Precinct1",State House,48,DEM,Jennifer Conlin,945
Livingston,"Hamburg Township, Precinct1",State House,48,REP,Jason Woolford,1191
Livingston,"Hamburg Township, Precinct1",State House,48,GRN,Eric Borregard,19
Livingston,"Hamburg Township, Precinct1",State House,48,,Cast Votes,2155
Livingston,"Hamburg Township, Precinct1",State House,48,,Undervotes,72
Livingston,"Hamburg Township, Precinct1",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct1",State House,48,,Rejected,1
Livingston,"Hamburg Township, Precinct1",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct1",State House,48,,Absentee,1194
Livingston,"Hamburg Township, Precinct1",State House,48,,Election,1034
Livingston,"Hamburg Township, Precinct1",State House,48,,Total,2228
Livingston,"Hamburg Township, Precinct2",State House,48,DEM,Jennifer Conlin,767
Livingston,"Hamburg Township, Precinct2",State House,48,REP,Jason Woolford,822
Livingston,"Hamburg Township, Precinct2",State House,48,GRN,Eric Borregard,19
Livingston,"Hamburg Township, Precinct2",State House,48,,Cast Votes,1608
Livingston,"Hamburg Township, Precinct2",State House,48,,Undervotes,65
Livingston,"Hamburg Township, Precinct2",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct2",State House,48,,Rejected,1
Livingston,"Hamburg Township, Precinct2",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct2",State House,48,,Absentee,748
Livingston,"Hamburg Township, Precinct2",State House,48,,Election,926
Livingston,"Hamburg Township, Precinct2",State House,48,,Total,1674
Livingston,"Hamburg Township, Precinct3",State House,48,DEM,Jennifer Conlin,798
Livingston,"Hamburg Township, Precinct3",State House,48,REP,Jason Woolford,1009
Livingston,"Hamburg Township, Precinct3",State House,48,GRN,Eric Borregard,23
Livingston,"Hamburg Township, Precinct3",State House,48,,Cast Votes,1830
Livingston,"Hamburg Township, Precinct3",State House,48,,Undervotes,93
Livingston,"Hamburg Township, Precinct3",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct3",State House,48,,Rejected,1
Livingston,"Hamburg Township, Precinct3",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct3",State House,48,,Absentee,990
Livingston,"Hamburg Township, Precinct3",State House,48,,Election,934
Livingston,"Hamburg Township, Precinct3",State House,48,,Total,1924
Livingston,"Hamburg Township, Precinct4",State House,48,DEM,Jennifer Conlin,807
Livingston,"Hamburg Township, Precinct4",State House,48,REP,Jason Woolford,881
Livingston,"Hamburg Township, Precinct4",State House,48,GRN,Eric Borregard,21
Livingston,"Hamburg Township, Precinct4",State House,48,,Cast Votes,1709
Livingston,"Hamburg Township, Precinct4",State House,48,,Undervotes,52
Livingston,"Hamburg Township, Precinct4",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct4",State House,48,,Rejected,0
Livingston,"Hamburg Township, Precinct4",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct4",State House,48,,Absentee,899
Livingston,"Hamburg Township, Precinct4",State House,48,,Election,862
Livingston,"Hamburg Township, Precinct4",State House,48,,Total,1761
Livingston,"Hamburg Township, Precinct5",State House,48,DEM,Jennifer Conlin,644
Livingston,"Hamburg Township, Precinct5",State House,48,REP,Jason Woolford,727
Livingston,"Hamburg Township, Precinct5",State House,48,GRN,Eric Borregard,18
Livingston,"Hamburg Township, Precinct5",State House,48,,Cast Votes,1389
Livingston,"Hamburg Township, Precinct5",State House,48,,Undervotes,44
Livingston,"Hamburg Township, Precinct5",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct5",State House,48,,Rejected,2
Livingston,"Hamburg Township, Precinct5",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct5",State House,48,,Absentee,675
Livingston,"Hamburg Township, Precinct5",State House,48,,Election,760
Livingston,"Hamburg Township, Precinct5",State House,48,,Total,1435
Livingston,"Hamburg Township, Precinct6",State House,48,DEM,Jennifer Conlin,921
Livingston,"Hamburg Township, Precinct6",State House,48,REP,Jason Woolford,1029
Livingston,"Hamburg Township, Precinct6",State House,48,GRN,Eric Borregard,10
Livingston,"Hamburg Township, Precinct6",State House,48,,Cast Votes,1960
Livingston,"Hamburg Township, Precinct6",State House,48,,Undervotes,69
Livingston,"Hamburg Township, Precinct6",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct6",State House,48,,Rejected,1
Livingston,"Hamburg Township, Precinct6",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct6",State House,48,,Absentee,1124
Livingston,"Hamburg Township, Precinct6",State House,48,,Election,906
Livingston,"Hamburg Township, Precinct6",State House,48,,Total,2030
Livingston,"Hamburg Township, Precinct7",State House,48,DEM,Jennifer Conlin,564
Livingston,"Hamburg Township, Precinct7",State House,48,REP,Jason Woolford,616
Livingston,"Hamburg Township, Precinct7",State House,48,GRN,Eric Borregard,11
Livingston,"Hamburg Township, Precinct7",State House,48,,Cast Votes,1191
Livingston,"Hamburg Township, Precinct7",State House,48,,Undervotes,29
Livingston,"Hamburg Township, Precinct7",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct7",State House,48,,Rejected,0
Livingston,"Hamburg Township, Precinct7",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct7",State House,48,,Absentee,576
Livingston,"Hamburg Township, Precinct7",State House,48,,Election,644
Livingston,"Hamburg Township, Precinct7",State House,48,,Total,1220
Livingston,"Hamburg Township, Precinct8",State House,48,DEM,Jennifer Conlin,466
Livingston,"Hamburg Township, Precinct8",State House,48,REP,Jason Woolford,486
Livingston,"Hamburg Township, Precinct8",State House,48,GRN,Eric Borregard,13
Livingston,"Hamburg Township, Precinct8",State House,48,,Cast Votes,965
Livingston,"Hamburg Township, Precinct8",State House,48,,Undervotes,33
Livingston,"Hamburg Township, Precinct8",State House,48,,Overvotes,0
Livingston,"Hamburg Township, Precinct8",State House,48,,Rejected,0
Livingston,"Hamburg Township, Precinct8",State House,48,,Unassigned,0
Livingston,"Hamburg Township, Precinct8",State House,48,,Absentee,425
Livingston,"Hamburg Township, Precinct8",State House,48,,Election,573
Livingston,"Hamburg Township, Precinct8",State House,48,,Total,998
Livingston,"Putnam Township, Precinct 3",State House,48,DEM,Jennifer Conlin,520
Livingston,"Putnam Township, Precinct 3",State House,48,REP,Jason Woolford,589
Livingston,"Putnam Township, Precinct 3",State House,48,GRN,Eric Borregard,16
Livingston,"Putnam Township, Precinct 3",State House,48,,Cast Votes,1125
Livingston,"Putnam Township, Precinct 3",State House,48,,Undervotes,48
Livingston,"Putnam Township, Precinct 3",State House,48,,Overvotes,0
Livingston,"Putnam Township, Precinct 3",State House,48,,Rejected,3
Livingston,"Putnam Township, Precinct 3",State House,48,,Unassigned,0
Livingston,"Putnam Township, Precinct 3",State House,48,,Absentee,497
Livingston,"Putnam Township, Precinct 3",State House,48,,Election,679
Livingston,"Putnam Township, Precinct 3",State House,48,,Total,1176
Livingston,"Putnam Township, Precinct 4",State House,48,DEM,Jennifer Conlin,376
Livingston,"Putnam Township, Precinct 4",State House,48,REP,Jason Woolford,563
Livingston,"Putnam Township, Precinct 4",State House,48,GRN,Eric Borregard,5
Livingston,"Putnam Township, Precinct 4",State House,48,,Cast Votes,944
Livingston,"Putnam Township, Precinct 4",State House,48,,Undervotes,29
Livingston,"Putnam Township, Precinct 4",State House,48,,Overvotes,0
Livingston,"Putnam Township, Precinct 4",State House,48,,Rejected,1
Livingston,"Putnam Township, Precinct 4",State House,48,,Unassigned,0
Livingston,"Putnam Township, Precinct 4",State House,48,,Absentee,457
Livingston,"Putnam Township, Precinct 4",State House,48,,Election,517
Livingston,"Putnam Township, Precinct 4",State House,48,,Total,974
